dataset,target_subject,token_seed,gamma,global_Py_delta,achieved_conflict_frac,conflict_fit,conflict_fit_floor,conflict_fit_minus_floor,l5_conflict_train,l5_random_train,l5_shuffle_train_mean,l5_shuffle_train_max,heldin_task_drop_train
BNCI2015_001,8,20260727,0.0,0,0.0,nan,nan,nan,0.0789,0.0789,0.0789,0.0789,0.0
BNCI2015_001,8,20260727,0.2,0,0.1333,0.425,0.2479,0.1771,0.0622,0.0783,0.0703,0.1292,0.0186
BNCI2015_001,8,20260727,0.4,0,0.2667,0.6729,0.2625,0.4104,0.0106,0.0378,0.0484,0.1047,0.1058
BNCI2015_001,9,20260727,0.0,0,0.0,nan,nan,nan,0.0084,0.0084,0.0084,0.0084,0.0
BNCI2015_001,9,20260727,0.2,0,0.1684,0.4922,0.1906,0.3016,-0.0016,0.0045,-0.0054,0.0226,0.0713
BNCI2015_001,9,20260727,0.4,0,0.3368,0.8187,0.207,0.6117,0.0266,0.0058,0.0063,0.0408,0.2134
BNCI2014_001,1,20260728,0.0,0,0.0,nan,nan,nan,0.0029,0.0029,0.0029,0.0029,0.0
BNCI2014_001,1,20260728,0.2,0,0.1997,0.5362,0.0942,0.442,-0.0035,0.0043,-0.0174,0.037,0.1282
BNCI2014_001,1,20260728,0.4,0,0.3495,0.6018,0.0911,0.5108,-0.0052,-0.0012,-0.0116,0.033,0.2483
BNCI2014_001,2,20260728,0.0,0,0.0,nan,nan,nan,0.0038,0.0038,0.0038,0.0038,0.0
BNCI2014_001,2,20260728,0.2,0,0.1997,0.4638,0.0826,0.3812,0.0078,-0.0006,0.0001,0.0081,0.0992
BNCI2014_001,2,20260728,0.4,0,0.3495,0.697,0.1391,0.5579,0.0171,0.0098,-0.018,0.0084,0.1777
BNCI2014_001,3,20260728,0.0,0,0.0,nan,nan,nan,0.0064,0.0064,0.0064,0.0064,0.0
BNCI2014_001,3,20260728,0.2,0,0.1997,0.5899,0.2,0.3899,0.0162,0.0012,0.0034,0.0093,0.0527
BNCI2014_001,3,20260728,0.4,0,0.3495,0.707,0.1912,0.5157,-0.0078,0.0064,0.0045,0.0677,0.1236
BNCI2014_001,4,20260728,0.0,0,0.0,nan,nan,nan,0.0133,0.0133,0.0133,0.0133,0.0
BNCI2014_001,4,20260728,0.2,0,0.1331,0.5826,0.0848,0.4978,-0.0382,0.0075,-0.0227,0.0093,0.0891
BNCI2014_001,4,20260728,0.4,0,0.3993,0.6826,0.0804,0.6022,-0.024,0.0087,-0.0192,0.0061,0.2532
BNCI2014_001,5,20260728,0.0,0,0.0,nan,nan,nan,0.0014,0.0014,0.0014,0.0014,0.0
BNCI2014_001,5,20260728,0.2,0,0.1997,0.5174,0.2116,0.3058,0.0017,-0.0035,0.0027,0.0197,0.07
BNCI2014_001,5,20260728,0.4,0,0.3657,0.6669,0.2097,0.4573,-0.0177,-0.0009,-0.0201,-0.0006,0.1386
BNCI2014_001,6,20260728,0.0,0,0.0,nan,nan,nan,0.0139,0.0139,0.0139,0.0139,0.0
BNCI2014_001,6,20260728,0.2,0,0.1997,0.5551,0.1406,0.4145,-0.0061,0.0075,0.0024,0.0098,0.0752
BNCI2014_001,6,20260728,0.4,0,0.3495,0.7442,0.1366,0.6076,-0.0582,0.0026,-0.0135,0.0113,0.1777
BNCI2014_001,7,20260728,0.0,0,0.0,nan,nan,nan,0.002,0.002,0.002,0.002,0.0
BNCI2014_001,7,20260728,0.2,0,0.1997,0.5159,0.0942,0.4217,-0.0272,-0.0026,-0.0031,0.0064,0.1178
BNCI2014_001,7,20260728,0.4,0,0.3993,0.7935,0.0928,0.7007,-0.0318,0.0017,-0.0358,-0.0165,0.2682
BNCI2014_001,8,20260728,0.0,0,0.0,nan,nan,nan,0.0017,0.0017,0.0017,0.0017,0.0
BNCI2014_001,8,20260728,0.2,0,0.1997,0.5304,0.1565,0.3739,-0.0258,0.0049,-0.016,0.0023,0.0935
BNCI2014_001,8,20260728,0.4,0,0.3495,0.6358,0.1382,0.4975,-0.0443,0.0052,-0.0135,0.0113,0.1942
BNCI2014_001,9,20260728,0.0,0,0.0,nan,nan,nan,0.0122,0.0122,0.0122,0.0122,0.0
BNCI2014_001,9,20260728,0.2,0,0.1997,0.4942,0.1319,0.3623,0.0156,0.0116,0.0128,0.0249,0.0767
BNCI2014_001,9,20260728,0.4,0,0.3657,0.6472,0.1218,0.5253,-0.0162,0.0078,-0.0153,0.0049,0.1834
BNCI2015_001,10,20260728,0.0,0,0.0,nan,nan,nan,0.1114,0.1114,0.1114,0.1114,0.0
BNCI2015_001,10,20260728,0.2,0,0.2,0.5153,0.2736,0.2417,0.0761,0.0697,0.0823,0.1428,0.0575
BNCI2015_001,10,20260728,0.4,0,0.4,0.7451,0.2653,0.4799,0.04,0.0794,0.0739,0.1425,0.1883
BNCI2015_001,11,20260728,0.0,0,0.0,nan,nan,nan,0.0128,0.0128,0.0128,0.0128,0.0
BNCI2015_001,11,20260728,0.2,0,0.1333,0.2583,0.1062,0.1521,0.0142,0.0006,0.0478,0.1139,0.0433
BNCI2015_001,11,20260728,0.4,0,0.2667,0.6083,0.0823,0.526,0.0056,0.0019,-0.0107,0.0011,0.1878
BNCI2015_001,12,20260728,0.0,0,0.0,nan,nan,nan,0.0182,0.0182,0.0182,0.0182,0.0
BNCI2015_001,12,20260728,0.2,0,0.1684,0.4703,0.1562,0.3141,0.0189,0.0126,0.0346,0.0716,0.0884
BNCI2015_001,12,20260728,0.4,0,0.3368,0.7531,0.2172,0.5359,0.0655,0.0087,0.0189,0.0611,0.2
BNCI2015_001,1,20260728,0.0,0,0.0,nan,nan,nan,0.0533,0.0533,0.0533,0.0533,0.0
BNCI2015_001,1,20260728,0.2,0,0.2,0.6583,0.2806,0.3778,-0.0217,0.0194,0.0629,0.0886,0.0811
BNCI2015_001,1,20260728,0.4,0,0.4,0.8424,0.2854,0.5569,-0.0606,0.0356,0.012,0.0583,0.1778
BNCI2015_001,2,20260728,0.0,0,0.0,nan,nan,nan,0.0984,0.0984,0.0984,0.0984,0.0
BNCI2015_001,2,20260728,0.2,0,0.1474,0.5357,0.325,0.2107,0.1084,0.0784,0.0639,0.1218,0.0387
BNCI2015_001,2,20260728,0.4,0,0.2947,0.767,0.4071,0.3598,0.0845,0.0589,0.0766,0.1087,0.0945
BNCI2015_001,3,20260728,0.0,0,0.0,nan,nan,nan,0.07,0.07,0.07,0.07,0.0
BNCI2015_001,3,20260728,0.2,0,0.2,0.4875,0.2333,0.2542,0.05,0.0556,0.077,0.0894,0.0533
BNCI2015_001,3,20260728,0.4,0,0.4,0.7354,0.2403,0.4951,0.0342,0.0572,0.0037,0.0358,0.1889
BNCI2015_001,4,20260728,0.0,0,0.0,nan,nan,nan,0.1063,0.1063,0.1063,0.1063,0.0
BNCI2015_001,4,20260728,0.2,0,0.1474,0.5643,0.3286,0.2357,0.1284,0.0889,0.0668,0.1066,0.0318
BNCI2015_001,4,20260728,0.4,0,0.2947,0.7375,0.3482,0.3893,0.1708,0.0542,0.061,0.1163,0.0929
BNCI2015_001,5,20260728,0.0,0,0.0,nan,nan,nan,0.0203,0.0203,0.0203,0.0203,0.0
BNCI2015_001,5,20260728,0.2,0,0.1895,0.4681,0.2833,0.1847,0.0253,0.0203,0.0527,0.0968,0.045
BNCI2015_001,5,20260728,0.4,0,0.3789,0.7181,0.2785,0.4396,0.0274,0.0466,0.0507,0.1387,0.1563
BNCI2015_001,6,20260728,0.0,0,0.0,nan,nan,nan,0.0037,0.0037,0.0037,0.0037,0.0
BNCI2015_001,6,20260728,0.2,0,0.1684,0.4297,0.2234,0.2062,-0.0068,0.0129,-0.0024,0.0053,0.0513
BNCI2015_001,6,20260728,0.4,0,0.3368,0.7766,0.2336,0.543,-0.0008,0.0076,0.0064,0.025,0.1755
BNCI2015_001,7,20260728,0.0,0,0.0,nan,nan,nan,0.0095,0.0095,0.0095,0.0095,0.0
BNCI2015_001,7,20260728,0.2,0,0.2,0.56,0.2425,0.3175,0.0212,0.0062,0.0092,0.024,0.0847
BNCI2015_001,7,20260728,0.4,0,0.4,0.84,0.2462,0.5938,0.0025,-0.0102,-0.0034,0.0267,0.2085
BNCI2015_001,8,20260728,0.0,0,0.0,nan,nan,nan,0.0655,0.0655,0.0655,0.0655,0.0
BNCI2015_001,8,20260728,0.2,0,0.1474,0.4857,0.3054,0.1804,0.0416,0.0687,0.0739,0.1395,0.0211
BNCI2015_001,8,20260728,0.4,0,0.2947,0.7812,0.2795,0.5018,-0.0079,0.0526,0.0939,0.16,0.1045
BNCI2015_001,9,20260728,0.0,0,0.0,nan,nan,nan,0.0581,0.0581,0.0581,0.0581,0.0
BNCI2015_001,9,20260728,0.2,0,0.2,0.4556,0.2097,0.2458,0.0831,0.0506,0.0508,0.0883,0.0653
BNCI2015_001,9,20260728,0.4,0,0.4,0.7882,0.1986,0.5896,0.0692,0.0372,0.0147,0.1019,0.2344
